id,name,table_bookings,online_ordering,location,rating,votes,phone,restaurant_type,restaurant_operation,popular_dishes,cuisines_offered,primary_cuisine,
50636,Taas Foods,No,No,Chinatown,,0,9972808227,Quick Bites,Delivery,1,3,Chinese,
28942,Birinz,Yes,No,East Village,4.3 /5,83,080 49653397,Casual Dining,Dine-out,7,3,Italian,
51689,HQ,No,Yes,Chinatown,4.1 /5,564," 9945577195
 9886144774",Casual Dining,Pubs and bars,7,4,American,
45380,New Punjabi Hotel,No,No,Greenwich,3.7 /5,125,080 41155177,Quick Bites,Delivery,5,2,American,
41403,Mainland China,Yes,Yes,Chinatown,4.7 /5,1542,080 49652995,Casual Dining,Delivery,7,1,Chinese,
11287,Turquoise,No,No,Midtown,2.8/5,56,080 42456060,Lounge,Dine-out,1,1,American,
16443,Paratha Plaza,Yes,No,East Village,3.1/5,82,9611637724,Quick Bites,Delivery,3,1,American,
1785,Dhe Chef Cafe,No,No,Lower Manhattan,,0,8861676624,Quick Bites,Delivery,1,2,American,
45867,Smally's Resto Cafe,Yes,No,Greenwich,4.1 /5,427,"080 48149349
 7829066633",Cafe,Dine-out,7,5,Snacks,
22393,Euki,Yes,Yes,Chelsea,4.1/5,553,080 41315550,Casual Dining,Delivery,7,2,Italian,
26616,Tella Tales,Yes,No,Tribeca,4.2/5,414,8792110657,Cafe,Cafes,7,3,,
21775,The Yellow Chilli,Yes,Yes,Chelsea,3.8/5,584,080 41712345,Casual Dining,Buffet,7,3,American,
41831,Madurai Sushi Nachos Shop,No,No,Staten and Ellis Islands,3.6 /5,63,9845764014,Quick Bites,Dine-out,2,1,Mexican,
51069,Biriyani Zone,Yes,No,Chinatown,4.0 /5,1633," 9886639782
 9886639783",Casual Dining,Dine-out,7,4,Italian,
9756,Al Habibi Restaurant,Yes,No,Lower Manhattan,,17,9611118091,Quick Bites,Delivery,1,2,American,
9027,Cafe Medley,Yes,No,Tribeca,4.2/5,1059," 8041160865,  9845141475",Cafe,Delivery,7,3,Snacks,
4025,Aashish Foods,Yes,No,Staten and Ellis Islands,3.8/5,34,8660201520,Quick Bites,Delivery,3,1,American,
27465,The Rasoiya Street,Yes,Yes,East Village,4.1/5,1326," 9663030533,  8078632775",Casual Dining,Delivery,7,4,American,
11030,Azimmo Treat,Yes,No,East Village,3.8/5,41,8861752567,Casual Dining,Dine-out,1,2,American,
49208,Wangs Kitchen,Yes,No,East Village,2.4 /5,438,080 39253925,Casual Dining,Delivery,7,1,Chinese,
32489,Darshan Paradise Restaurant,Yes,No,Lower Manhattan,3.6 /5,16," 9880414009,  8095414009",Quick Bites,Delivery,1,2,American,
3702,Royal Burger Center,No,No,Chelsea,NEW,0,8884603812,Quick Bites,Dine-out,1,2,Italian,
41794,Ashirvad Resturant,No,No,Staten and Ellis Islands,3.2 /5,7,9036799105,Quick Bites,Dine-out,1,2,American,
7296,Vishwaas Take Away,No,No,Staten and Ellis Islands,3.2/5,7," 9740956336,  7760615222",Quick Bites,Delivery,1,2,American,
16177,Vegetarea,No,No,East Village,,0,080 43334333,,Delivery,1,1,Mexican,
51430,S.M.S.Evening Fast Food,No,No,Chinatown,3.4 /5,10,9448171435,Quick Bites,Dine-out,1,2,Italian,
45942,Happenwell Cafe Lounge,No,No,Greenwich,3.7 /5,24,8296541227,Quick Bites,Dine-out,1,4,American,
208,Mystique Palate,Yes,No,Chelsea,4.1/5,337," 9663313544,  9916685945",Quick Bites,Delivery,7,2,Chinese,
31956,Anda Ka Funda,Yes,No,Lower Manhattan,3.2 /5,64,9902666308,Quick Bites,Dine-out,3,3,American,
8306,Cafe Coffee Day,Yes,No,Lower Manhattan,3.4/5,43,9071381534,Cafe,Cafes,1,2,Snacks,
50651,Tasty Food,Yes,No,Chinatown,NEW,0,080 49652804,Quick Bites,Delivery,1,2,American,
50793,Ghar ka Khana,No,No,Chinatown,,0,9036665752,Delivery,Delivery,1,1,American,
2526,36th Cross Coffee Mane,No,No,Chelsea,3.6/5,16,080 49653404,Quick Bites,Cafes,1,8,Mexican,
16908,Kairos,No,No,East Village,3.8/5,63,"080 40752007,  8861128718",Cafe,Desserts,2,3,Snacks,
8058,China On My Plate,Yes,No,Chinatown,3.0/5,17,9886069658,Casual Dining,Dine-out,1,1,Chinese,
29447,Mahesh Friends Food Center,Yes,No,Lower Manhattan,2.9 /5,136,9731081364,Quick Bites,Delivery,1,2,Chinese,
2847,Mr. Parathewala,Yes,No,Chelsea,,0,8884135349,Takeaway,Delivery,1,1,American,
11056,Burgers And More,Yes,No,Tribeca,NEW,0,8861999234,Quick Bites,Dine-out,1,5,Italian,
50116,Starbucks,No,No,Chinatown,3.9 /5,35,,Cafe,Cafes,1,2,Snacks,
248,Ugadi,Yes,No,Chelsea,2.9/5,177,9742231320,Casual Dining,Delivery,6,5,American,
8290,Nouvelle Garden,No,No,Midtown,3.7/5,202," 9900022134,  9900022136",Casual Dining,Buffet,7,3,American,
31177,IDC Kitchen,No,No,Tribeca,4.2 /5,52,7022649471,Quick Bites,Dine-out,2,1,Mexican,
23232,Woody's,Yes,No,Midtown,2.6/5,208,"080 26490999, 080 26490888",Casual Dining,Dine-out,7,3,Chinese,
23775,Healthy Parathawala,Yes,No,Lower Manhattan,NEW,0,8095555240,Quick Bites,Dine-out,1,1,American,
37149,Hyderabad Bawarchi,No,No,Chelsea,3.9 /5,118," 8884979343
 9985900859",Casual Dining,Dine-out,6,3,American,
21158,Lambsters,No,No,Chelsea,3.6 /5,0,9606346344,Casual Dining,Dine-out,1,2,American,
15835,Kairos,No,No,East Village,3.8/5,63,"080 40752007,  8861128718",Cafe,Cafes,2,3,Snacks,
21382,The Punjabi Rasoi,No,No,Midtown,3.4 /5,0,080 42085222,Casual Dining,Dine-out,1,1,American,
338,The Trundle,Yes,No,Chelsea,3.7/5,133,9986520008,Casual Dining,Delivery,7,4,Chinese,
20858,Petoo,Yes,No,Chelsea,3.9/5,20,7338312409,Quick Bites,Delivery,1,3,American,
7928,The Perk,No,Yes,Staten and Ellis Islands,2.7/5,442,080 25401352,Casual Dining,Dine-out,7,1,American,
9242,Sultans of Spice,Yes,Yes,Tribeca,4.5/5,3458,080 49652770,Casual Dining,Delivery,7,3,American,
36783,Fresh Pressery Cafe,Yes,No,Tribeca,4.1 /5,141,080 41724989,Cafe,Dine-out,7,5,Snacks,
37350,Nanu's Shawarma,No,No,Lower Manhattan,,0,9900900292,Quick Bites,,1,3,Chinese,
8740,Rajesh Restaurant,Yes,Yes,East Village,3.5/5,59," 8095457454,  7090207707",Casual Dining,Delivery,,4,American,
21528,Dal Pizza,Yes,No,Midtown,3.7 /5,117,"080 26493524,  9448235118",Quick Bites,Dine-out,6,,American,
20800,Ambur Hot Dum Burger,No,No,Lower Manhattan,3.5/5,21,9739695758,Quick Bites,Delivery,1,1,Italian,
21700,Sri Nanjundeshwara Canteen,No,No,Midtown,,0,7353977723,Quick Bites,Dine-out,1,1,,
10727,RK Fast Food,No,No,Lower Manhattan,,0,8919293202,Quick Bites,Dine-out,1,2,Mexican,
28445,YORK St.,Yes,No,Tribeca,4.4 /5,949,7624945998,Cafe,Dine-out,7,3,Snacks,
16819,Pazzo,Yes,No,East Village,4.3/5,372," 9500026246,  9000166663",Casual Dining,Delivery,7,4,American,
1721,Sree Krishna Kafe,No,No,Midtown,3.9/5,115,8792556140,Quick Bites,Delivery,7,1,Mexican,
29479,Aramane Donne Biriyani,Yes,No,Lower Manhattan,3.9 /5,192," 7411877401,  7829588445",Quick Bites,Delivery,2,2,Italian,
41539,Barbecoa,No,No,Staten and Ellis Islands,4.3 /5,1370," 9902287520
 7022455300",Casual Dining,Dine-out,7,5,American,
9384,Mini Adiga's,No,No,Lower Manhattan,2.8/5,27,8494911129,Quick Bites,Delivery,1,5,Mexican,
51219,A Southern Fair,Yes,No,Chinatown,3.0 /5,19,9108539056,Casual Dining,Dine-out,1,3,Italian,
8509,Jaganath Hotel and Restaurant,Yes,No,Midtown,3.6/5,35,080 49652549,Quick Bites,Delivery,1,2,American,
17978,Bean Flickers,Yes,No,Greenwich,4.3/5,391,"080 41209097,  9886367831",Cafe,Delivery,7,5,Snacks,
17529,Perk - Estd 1986 Delhi,Yes,Yes,Greenwich,4.4/5,1414,"080 48536713,  8884498122",Casual Dining,Buffet,7,1,American,
51125,Hyderabad Biryaani House,Yes,No,Chinatown,3.6 /5,378," 7411511194
 8050243033",Casual Dining,Dine-out,4,3,Italian,
3578,36th Cross Coffee Mane,No,No,Chelsea,3.6/5,,080 49653404,Quick Bites,Dine-out,1,8,Mexican,
10933,Chinita Real Mexican Food,No,No,Tribeca,4.5/5,729," 9591038009, 080 43711400",Casual Dining,Dine-out,7,1,Mexican,
32973,Healthy Parathawala,Yes,No,Lower Manhattan,,0,8095555240,Quick Bites,Delivery,1,1,American,
41203,China On My Plate,No,No,Chinatown,3.0 /5,17,9886069658,Casual Dining,Delivery,1,1,Chinese,
3475,The Caramelts Cafe,No,No,Chelsea,4.2/5,223,080 26544799,Cafe,Dine-out,7,4,Snacks,
20375,Chung Wah,Yes,No,Chelsea,3.7/5,329," 9108945477,  9108945277",Casual Dining,Delivery,7,3,Chinese,
7458,Swad-Deshi Restaurant,Yes,No,Staten and Ellis Islands,3.5/5,13,080 49653311,Quick Bites,Delivery,1,2,Mexican,
41789,Aashish Foods,Yes,No,Staten and Ellis Islands,3.8 /5,35,8660201520,Quick Bites,Dine-out,3,1,American,
30886,Smally's Resto Cafe,Yes,Yes,Tribeca,4.2 /5,1704," 7406772442,  7406772332",Cafe,Desserts,7,5,Snacks,
33341,Market Table,No,Yes,Tribeca,4.5 /5,550,080 49652848,,Delivery,7,4,Snacks,
22483,Vasantha Grand,No,No,Midtown,,0,8050731952,Quick Bites,Delivery,1,3,Mexican,
45570,Eddy's Cafe,Yes,No,Greenwich,4.1 /5,142,6361292968,Cafe,Desserts,7,8,Snacks,
27825,Om Made Cafe,No,No,Tribeca,4.1/5,2731,"080 43024010, 080 25533369",Cafe,Delivery,7,4,Snacks,
33673,Fresh Pressery Cafe,Yes,No,Tribeca,4.1 /5,141,080 41724989,Cafe,Desserts,7,5,Snacks,
27925,sCoolMeal,No,No,Lower Manhattan,,0,8971958284,Takeaway,Delivery,,4,American,
20699,Beach Hut,No,No,Midtown,3.5/5,134," 9740002754,  9739145695",Casual Dining,Delivery,7,2,American,
8937,Ammus Hot N Cool,Yes,No,Lower Manhattan,3.4/5,84,7829389148,Quick Bites,Delivery,,2,American,
2690,Canton,Yes,No,Chelsea,3.6/5,,"080 41410069,  9611320069",Casual Dining,Delivery,7,3,Chinese,
9215,BTM Ghar ka Khana,No,No,Lower Manhattan,3.7/5,126," 9845018962,  9342818067",Quick Bites,Delivery,4,1,American,
9880,Polamma's Mess,Yes,No,Lower Manhattan,4.2/5,185,9743060222,Mess,Delivery,7,3,American,
10772,Sri Udupi Johnson,No,No,Lower Manhattan,3.5/5,12,080 28913122,Quick Bites,Dine-out,1,1,Mexican,
16629,Jagan's Hotel,No,No,East Village,,0,9900044424,Quick Bites,Delivery,1,2,Mexican,
17068,Fine Dine Restaurant,Yes,No,East Village,3.7/5,56,8277290150,Casual Dining,Dine-out,1,3,American,
35110,David's Kitchen,Yes,No,Lower Manhattan,3.6 /5,14," 9035721005
 8880550888",Quick Bites,Delivery,1,3,American,
1753,Petoo,No,No,Midtown,3.7/5,48,9108829009,Casual Dining,Delivery,3,3,American,
41647,The Mint Resto Bar,No,Yes,Staten and Ellis Islands,2.6 /5,62,7259688882,Casual Dining,Dine-out,1,3,American,
5436,Popat,Yes,No,Greenwich,3.2/5,41,7015836528,Quick Bites,Delivery,1,1,American,
10456,Trippy Paradise,Yes,No,Lower Manhattan,2.6/5,60," 9886525634,  7406615506",Cafe,Dine-out,1,1,Snacks,
23317,Dakshin Cafe,Yes,No,Midtown,4.1/5,140,9916806236,Quick Bites,Dine-out,6,1,Mexican,
19666,Nati Palace,Yes,No,Midtown,3.5/5,11,8618007711,Quick Bites,Delivery,1,2,Mexican,
34593,Ayush Reddy Tiffins & Fast Food Center,No,No,Lower Manhattan,,0,7893037059,Quick Bites,Dine-out,1,3,Mexican,
3943,Petoo,Yes,No,East Village,4.1/5,103,7899670003,Quick Bites,Delivery,5,3,American,
35670,Kopper Kadai,No,No,Tribeca,4.1 /5,1697,,Casual Dining,Delivery,7,2,American,
34425,Hammered,No,No,East Village,4.3 /5,430,080 45128705,Bar,Dine-out,7,4,American,
46115,Jonah's,Yes,Yes,Greenwich,4.1 /5,1857," 7349671711
 7349671712",Casual Dining,Pubs and bars,7,4,Italian,
41884,Paakam,No,No,Staten and Ellis Islands,3.7 /5,64," 9513071357
 9845175617",Quick Bites,Dine-out,1,1,Mexican,
3483,SlimSins Cafe,No,No,Chelsea,4.1/5,707,9535582766,Cafe,Dine-out,7,2,Snacks,
50109,Barley & Grapes Cafe,No,No,Chinatown,4.2 /5,842,080 67266599,Cafe,Cafes,,3,Snacks,
29435,New Mahesh Friends Food Corner,Yes,No,Lower Manhattan,3.2 /5,52," 9902419754,  9972913805",Quick Bites,Delivery,1,2,American,
26874,Hyderabad Biryaani House,Yes,No,Tribeca,4.1/5,1115,"080 65754353,  7204344343",Casual Dining,Delivery,7,4,Italian,
51513,Hyderabadi Dum Burger,No,No,Chinatown,3.7 /5,23,8494915888,Quick Bites,Dine-out,1,1,Italian,
27431,Noon's,Yes,No,East Village,4.2/5,163," 9243405888,  8050160888",Quick Bites,Delivery,3,1,Italian,
51004,Cafe Coffee Day,No,No,Chinatown,,0,,Cafe,Desserts,1,2,Snacks,
2335,Birthday Buddy,No,No,Midtown,,0," 8970900910,  8880007484",Fine Dining,Dine-out,1,,American,
1421,Hungry Haters,Yes,No,Midtown,NEW,0," 8041214046,  9742363313",Takeaway,Delivery,1,2,Chinese,
21888,Swad Punjab Da,Yes,No,Lower Manhattan,4.1/5,,8360151853,Quick Bites,Delivery,5,1,American,
31893,Adithya Family Restaurant,No,No,Lower Manhattan,3.7 /5,27,9845284661,Quick Bites,Dine-out,1,1,Mexican,
19432,4th Tea Block,No,No,Chelsea,4.0/5,62," 9844033353,  6361276770",Cafe,Cafes,4,1,Snacks,
19696,RB Food Point,Yes,No,Lower Manhattan,3.7/5,35,080 49652100,Quick Bites,Delivery,1,2,American,
7910,Golkonda Chimney,Yes,Yes,Staten and Ellis Islands,3.7/5,1813,"080 42053331, 080 28476532",Casual Dining,Dine-out,7,3,Italian,
26889,Yummy Pot,Yes,No,East Village,,0,7012891601,Quick Bites,Delivery,1,1,American,
45192,Zaica Dine & Wine,Yes,Yes,Greenwich,4.0 /5,1021," 9731333833
080 41201745",Casual Dining,Delivery,7,1,American,
2723,Bakers Town,Yes,No,Lower Manhattan,3.6/5,41,7411103666,Cafe,Delivery,6,3,Snacks,
32350,Rajdhani Thali Restaurant,Yes,Yes,Greenwich,4.0 /5,1134,"080 25212517, 080 25212518",Casual Dining,Delivery,7,1,American,
26696,A2B - Adyar Ananda Bhavan,Yes,No,East Village,4.1/5,41,080 43334321,Takeaway,Delivery,1,4,Mexican,
51670,Miro Bar - Miraya Hotel & Residences,No,No,Chinatown,3.8 /5,26," 7760961733
 7760961714",Lounge,Drinks & nightlife,1,4,American,
1643,Mandi,Yes,Yes,Midtown,3.8/5,560,"080 26581432,  9880493432",Casual Dining,Delivery,7,1,American,
33364,Al Hayath,No,No,Lower Manhattan,3.5 /5,16,9342577103,Quick Bites,Delivery,1,2,American,
51156,Third Wave Coffee Roasters,No,No,Chinatown,3.8 /5,25," 9108175767
 8025018073",Cafe,Dine-out,1,3,Snacks,
32848,Vyanjan,Yes,No,Lower Manhattan,3.9 /5,203,9916937446,,Delivery,7,2,American,
34623,New Farm Fresh,No,No,Lower Manhattan,3.6 /5,34," 8884062000
 8884632000",Quick Bites,Dine-out,1,2,Italian,
51092,Karibu - The Zuri,No,Yes,Chinatown,3.9 /5,268,"080 66657272
 9135541824",,Dine-out,7,2,Mexican,
20396,Chung's Chinese Corner,Yes,No,Chelsea,3.9/5,224,"080 26644700, 080 41211700",Casual Dining,Delivery,7,1,Chinese,
43750,Donne Biriyani House,Yes,No,Greenwich,4.0 /5,494,9739406501,Quick Bites,Dine-out,3,1,Italian,
44942,Mainland China,Yes,Yes,Greenwich,4.4 /5,1554,"080 25216677
080 39491234",Casual Dining,Delivery,7,1,Chinese,
36017,Aroma Fine Dine,Yes,Yes,East Village,4.0 /5,126," 9513888632
 9945845334",Casual Dining,Delivery,4,4,American,
36781,Mani's Dum Burger,Yes,No,Tribeca,3.9 /5,784,"080 43006111
 9606441691",,Dine-out,7,2,Italian,
17078,Cafe Coffee Day,No,No,East Village,3.8/5,36,9071387824,Cafe,Dine-out,1,1,Snacks,
27463,Cafe 221B,Yes,Yes,Lower Manhattan,3.7/5,49," 7899022907,  9895765188",Cafe,Delivery,1,2,Snacks,
45822,Monkey Bar,Yes,No,Greenwich,4.3 /5,3890,080 49653039,Pub,Dine-out,7,4,American,
22778,The Sofraah Kebabs & Kurries - Eden Park Restaurants,No,Yes,Chelsea,3.8/5,176,"080 42777333,  8884416393",Casual Dining,Delivery,7,2,American,
20397,Buff Buffet Buff,Yes,Yes,Tribeca,4.5/5,3151,080 45128765,Casual Dining,Delivery,7,5,American,
16289,OMY Grill,Yes,No,East Village,3.8/5,34,9148848424,Quick Bites,Delivery,1,3,Italian,
23306,Mavalli Tiffin Room (MTR),No,No,Midtown,4.1/5,873,080 26586633,,Dine-out,7,1,Mexican,
51130,Pindi New York,Yes,No,Chinatown,,0,080 71967670,,Dine-out,1,4,American,
29971,Homifoo,Yes,No,East Village,3.5 /5,11,9206298204,Quick Bites,Delivery,1,1,American,
49048,Pavan Tiffin Center,Yes,No,East Village,3.3 /5,9,9449346123,Quick Bites,Delivery,1,1,Mexican,
44729,Southindies,No,Yes,Greenwich,4.0 /5,1231,"080 41636363
080 41636362",Casual Dining,Buffet,7,4,Mexican,
19423,The Airos,Yes,No,Chelsea,4.1/5,130,7026390001,Cafe,Cafes,7,3,Snacks,
